"Timestamp","Total score","Ваш пол:","Ваш пол: [Score]","Ваш пол: [Feedback]","1. Я несчастлив, занимаясь столькими вещами в одиночку.","1. Я несчастлив, занимаясь столькими вещами в одиночку. [Score]","1. Я несчастлив, занимаясь столькими вещами в одиночку. [Feedback]","2. Мне не с кем поговорить.","2. Мне не с кем поговорить. [Score]","2. Мне не с кем поговорить. [Feedback]","3. Для меня невыносимо быть таким одиноким.","3. Для меня невыносимо быть таким одиноким. [Score]","3. Для меня невыносимо быть таким одиноким. [Feedback]","4. Мне не хватает общения.","4. Мне не хватает общения. [Score]","4. Мне не хватает общения. [Feedback]","5. Я чувствую, будто никто действительно не понимает себя.","5. Я чувствую, будто никто действительно не понимает себя. [Score]","5. Я чувствую, будто никто действительно не понимает себя. [Feedback]","6. Я застаю себя в ожидании, что люди позвонят или напишут мне.","6. Я застаю себя в ожидании, что люди позвонят или напишут мне. [Score]","6. Я застаю себя в ожидании, что люди позвонят или напишут мне. [Feedback]","7. Нет никого, к кому я мог бы обратиться.","7. Нет никого, к кому я мог бы обратиться. [Score]","7. Нет никого, к кому я мог бы обратиться. [Feedback]","8. Я сейчас больше ни с кем не близок.","8. Я сейчас больше ни с кем не близок. [Score]","8. Я сейчас больше ни с кем не близок. [Feedback]","9. Те, кто меня окружает, не разделяют мои интересы и идеи.","9. Те, кто меня окружает, не разделяют мои интересы и идеи. [Score]","9. Те, кто меня окружает, не разделяют мои интересы и идеи. [Feedback]","10. Я чувствую себя покинутым.","10. Я чувствую себя покинутым. [Score]","10. Я чувствую себя покинутым. [Feedback]","11. Я не способен раскрепощаться и общаться с теми, кто меня окружает.","11. Я не способен раскрепощаться и общаться с теми, кто меня окружает. [Score]","11. Я не способен раскрепощаться и общаться с теми, кто меня окружает. [Feedback]","12. Я чувствую себя совершенно одиноким.","12. Я чувствую себя совершенно одиноким. [Score]","12. Я чувствую себя совершенно одиноким. [Feedback]","14. Я умираю по компании.","14. Я умираю по компании. [Score]","14. Я умираю по компании. [Feedback]","15. В действительности никто как следует не знает меня.","15. В действительности никто как следует не знает меня. [Score]","15. В действительности никто как следует не знает меня. [Feedback]","16. Я чувствую себя изолированным от других.","16. Я чувствую себя изолированным от других. [Score]","16. Я чувствую себя изолированным от других. [Feedback]","17. Я несчастен, будучи таким отверженным.","17. Я несчастен, будучи таким отверженным. [Score]","17. Я несчастен, будучи таким отверженным. [Feedback]","18. Мне трудно заводить друзей.","18. Мне трудно заводить друзей. [Score]","18. Мне трудно заводить друзей. [Feedback]","19. Я чувствую себя исключенным и изолированным другими.","19. Я чувствую себя исключенным и изолированным другими. [Score]","19. Я чувствую себя исключенным и изолированным другими. [Feedback]","20. Люди вокруг меня, но не со мной.","20. Люди вокруг меня, но не со мной. [Score]","20. Люди вокруг меня, но не со мной. [Feedback]"
"2021/03/12 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Никогда","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0",""
"2021/03/13 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0",""
"2021/03/14 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0",""
"2021/03/15 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0",""
"2021/03/16 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Никогда","-- / 0","","Часто","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Часто","-- / 0",""
"2021/03/17 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0",""
"2021/03/18 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0",""
"2021/03/19 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Редко","-- / 0",""
"2021/03/20 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Никогда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0",""
"2021/03/21 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Часто","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0",""
"2021/03/22 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Иногда","-- / 0","","Никогда","-- / 0","","Редко","-- / 0","","Часто","-- / 0","","Никогда","-- / 0","","Иногда","-- / 0",""