"Timestamp","Total score","Ваш пол:","Ваш пол: [Score]","Ваш пол: [Feedback]","1. Для меня как отрицательные, так и положительные эмоции служат источником знания, как поступать в жизни.","1. Для меня как отрицательные, так и положительные эмоции служат источником знания, как поступать в жизни. [Score]","1. Для меня как отрицательные, так и положительные эмоции служат источником знания, как поступать в жизни. [Feedback]","2. Отрицательные эмоции помогают мне понять, что я должен изменить в моей жизни.","2. Отрицательные эмоции помогают мне понять, что я должен изменить в моей жизни. [Score]","2. Отрицательные эмоции помогают мне понять, что я должен изменить в моей жизни. [Feedback]","3. Я спокоен, когда испытываю давление со стороны.","3. Я спокоен, когда испытываю давление со стороны. [Score]","3. Я спокоен, когда испытываю давление со стороны. [Feedback]","4. Я способен наблюдать изменение своих чувств.","4. Я способен наблюдать изменение своих чувств. [Score]","4. Я способен наблюдать изменение своих чувств. [Feedback]","5. Когда необходимо, я могу быть спокойным и сосредоточенным, чтобы действовать в соответствии с запросами жизни.","5. Когда необходимо, я могу быть спокойным и сосредоточенным, чтобы действовать в соответствии с запросами жизни. [Score]","5. Когда необходимо, я могу быть спокойным и сосредоточенным, чтобы действовать в соответствии с запросами жизни. [Feedback]","6. Когда необходимо, я могу вызвать у себя широкий спектр положительных эмоций, такие как веселье, радость, внутренний подъем и юмор.","6. Когда необходимо, я могу вызвать у себя широкий спектр положительных эмоций, такие как веселье, радость, внутренний подъем и юмор. [Score]","6. Когда необходимо, я могу вызвать у себя широкий спектр положительных эмоций, такие как веселье, радость, внутренний подъем и юмор. [Feedback]","7. Я слежу за тем, как я себя чувствую.","7. Я слежу за тем, как я себя чувствую. [Score]","7. Я слежу за тем, как я себя чувствую. [Feedback]","8. После того как что-то расстроило меня, я могу легко совладать со своими чувствами.","8. После того как что-то расстроило меня, я могу легко совладать со своими чувствами. [Score]","8. После того как что-то расстроило меня, я могу легко совладать со своими чувствами. [Feedback]","9. Я способен выслушивать проблемы других людей.","9. Я способен выслушивать проблемы других людей. [Score]","9. Я способен выслушивать проблемы других людей. [Feedback]","10. Я не зацикливаюсь на отрицательных эмоциях.","10. Я не зацикливаюсь на отрицательных эмоциях. [Score]","10. Я не зацикливаюсь на отрицательных эмоциях. [Feedback]","11. Я чувствителен к эмоциональным потребностям других.","11. Я чувствителен к эмоциональным потребностям других. [Score]","11. Я чувствителен к эмоциональным потребностям других. [Feedback]","12. Я могу действовать успокаивающе на других людей.","12. Я могу действовать успокаивающе на других людей. [Score]","12. Я могу действовать успокаивающе на других людей. [Feedback]","13. Я могу заставить себя снова и снова встать перед лицом препятствия.","13. Я могу заставить себя снова и снова встать перед лицом препятствия. [Score]","13. Я могу заставить себя снова и снова встать перед лицом препятствия. [Feedback]","14. Я стараюсь подходить творчески к жизненным проблемам.","14. Я стараюсь подходить творчески к жизненным проблемам. [Score]","14. Я стараюсь подходить творчески к жизненным проблемам. [Feedback]","15. Я адекватно реагирую на настроения, побуждения и желания других людей.","15. Я адекватно реагирую на настроения, побуждения и желания других людей. [Score]","15. Я адекватно реагирую на настроения, побуждения и желания других людей. [Feedback]","16. Я могу легко входить в состояние спокойствия, готовности и сосредоточенности.","16. Я могу легко входить в состояние спокойствия, готовности и сосредоточенности. [Score]","16. Я могу легко входить в состояние спокойствия, готовности и сосредоточенности. [Feedback]","17. Когда позволяет время, я обращаюсь к своим негативным чувствам и разбираюсь, в чем проблема.","17. Когда позволяет время, я обращаюсь к своим негативным чувствам и разбираюсь, в чем проблема. [Score]","17. Когда позволяет время, я обращаюсь к своим негативным чувствам и разбираюсь, в чем проблема. [Feedback]","18. Я способен быстро успокоиться после неожиданного огорчения.","18. Я способен быстро успокоиться после неожиданного огорчения. [Score]","18. Я способен быстро успокоиться после неожиданного огорчения. [Feedback]","19. Знание моих истинных чувств важно для поддержания «хорошей формы».","19. Знание моих истинных чувств важно для поддержания «хорошей формы». [Score]","19. Знание моих истинных чувств важно для поддержания «хорошей формы». [Feedback]","20. Я хорошо понимаю эмоции других людей, даже если они не выражены открыто.","20. Я хорошо понимаю эмоции других людей, даже если они не выражены открыто. [Score]","20. Я хорошо понимаю эмоции других людей, даже если они не выражены открыто. [Feedback]","21.Я хорошо могу распознавать эмоции по выражению лица.","21.Я хорошо могу распознавать эмоции по выражению лица. [Score]","21.Я хорошо могу распознавать эмоции по выражению лица. [Feedback]","22. Я могу легко отбросить негативные чувства, когда необходимо действовать.","22. Я могу легко отбросить негативные чувства, когда необходимо действовать. [Score]","22. Я могу легко отбросить негативные чувства, когда необходимо действовать. [Feedback]","23. Я хорошо улавливаю знаки в общении, которые указывают на то, в чем другие нуждаются.","23. Я хорошо улавливаю знаки в общении, которые указывают на то, в чем другие нуждаются. [Score]","23. Я хорошо улавливаю знаки в общении, которые указывают на то, в чем другие нуждаются. [Feedback]","24. Люди считают меня хорошим знатоком переживаний других людей.","24. Люди считают меня хорошим знатоком переживаний других людей. [Score]","24. Люди считают меня хорошим знатоком переживаний других людей. [Feedback]","25. Люди, осознающие свои истинные чувства, лучше управляют своей жизнью.","25. Люди, осознающие свои истинные чувства, лучше управляют своей жизнью. [Score]","25. Люди, осознающие свои истинные чувства, лучше управляют своей жизнью. [Feedback]","26.Я способен улучшить настроение других людей.","26.Я способен улучшить настроение других людей. [Score]","26.Я способен улучшить настроение других людей. [Feedback]","27. Со мной можно посоветоваться по вопросам отношений между людьми.","27. Со мной можно посоветоваться по вопросам отношений между людьми. [Score]","27. Со мной можно посоветоваться по вопросам отношений между людьми. [Feedback]","28. Я хорошо настраиваюсь на эмоции других людей.","28. Я хорошо настраиваюсь на эмоции других людей. [Score]","28. Я хорошо настраиваюсь на эмоции других людей. [Feedback]","29. Я помогаю другим использовать их побуждения для достижения личных целей.","29. Я помогаю другим использовать их побуждения для достижения личных целей. [Score]","29. Я помогаю другим использовать их побуждения для достижения личных целей. [Feedback]","30. Я могу легко отключиться от переживания неприятностей.","30. Я могу легко отключиться от переживания неприятностей. [Score]","30. Я могу легко отключиться от переживания неприятностей. [Feedback]"
"2021/03/12 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0",""
"2021/03/13 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0",""
"2021/03/14 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0",""
"2021/03/15 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0",""
"2021/03/16 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0",""
"2021/03/17 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0",""
"2021/03/18 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0",""
"2021/03/19 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0",""
"2021/03/20 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0",""
"2021/03/21 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0",""
"2021/03/22 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0",""
"2021/03/23 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0",""
"2021/03/24 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0",""
"2021/03/25 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0",""
"2021/03/26 4:57:25 PM GMT+3","0.00 / 0","Мужской","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Полностью не согласен(-сна)","-- / 0","","Полностью согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","В основном не согласен(-сна)","-- / 0","","Отчасти согласен(-сна)","-- / 0","","Отчасти не согласен(-сна)","-- / 0",""